"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significant"
"NHLH1",9.93177037762659e-159,4.68748369099925,0.744,0.102,1.96470281610209e-154,"NHLH1","IP"
"TMSB4X",4.0912007100135e-150,1.53151606967669,1,1,8.09321324454871e-146,"TMSB4X","IP"
"RTN1",1.19799595967775e-140,-1.83122699100902,0.626,0.99,2.36987560743453e-136,"RTN1","Neuron"
"IGFBP5",8.83574033245095e-125,-4.90728559836311,0.125,0.779,1.74788615256545e-120,"IGFBP5","Neuron"
"LY6H",2.34341580129966e-116,-2.61524852863058,0.252,0.849,4.63574513813099e-112,"LY6H","Neuron"
"ACTG1",1.17605391811501e-114,0.730523620436706,1,1,2.32646986081511e-110,"ACTG1","IP"
"LMO3",1.46114168472397e-108,-4.48243238959625,0.123,0.726,2.89043048072097e-104,"LMO3","Neuron"
"CHD7",1.47193955467293e-107,2.92531976032191,0.712,0.189,2.91179082705399e-103,"CHD7","IP"
"NEUROD2",2.79795348412645e-105,-1.39773685135303,0.769,0.992,5.53491158229894e-101,"NEUROD2","Neuron"
"CNTNAP2",1.48256284835945e-101,-1.95073246189099,0.509,0.916,2.93280582662467e-97,"CNTNAP2","Neuron"
"BTG1",4.69671039282185e-101,1.70712332949959,0.94,0.638,9.29103249908018e-97,"BTG1","IP"
"EZR",3.27767643658535e-97,2.4803924386028,0.755,0.273,6.48389952685314e-93,"EZR","IP"
"RPS11",3.37839631019393e-95,0.832891229213221,0.998,0.995,6.68314358082562e-91,"RPS11","IP"
"VAMP2",1.61325105160839e-90,-1.15609370603029,0.889,0.981,3.19133323029172e-86,"VAMP2","Neuron"
"SNCA",2.62466791518453e-89,-2.61085311562924,0.231,0.745,5.19211806981803e-85,"SNCA","Neuron"
"MARCKS",6.67722552490152e-89,1.07398362015372,0.994,0.93,1.32088875333602e-84,"MARCKS","IP"
"PHLDA1",1.45553526020145e-88,3.15384595488339,0.604,0.142,2.87933985173051e-84,"PHLDA1","IP"
"RPL10",1.10216544371565e-87,0.635684308983771,0.998,0.999,2.1803036807583e-83,"RPL10","IP"
"SOX11",1.82816578367669e-86,1.37391210427552,0.992,0.889,3.61647755326924e-82,"SOX11","IP"
"HES6",9.60587379368375e-84,2.29760175558157,0.873,0.634,1.90023395386652e-79,"HES6","IP"
"GAPDH",5.90237442626881e-83,0.967202183701756,0.998,0.987,1.1676077090045e-78,"GAPDH","IP"
"PTMA",1.45597823303559e-82,0.659080436512917,1,0.999,2.88021614059101e-78,"PTMA","IP"
"RPS6",1.29431866720261e-81,0.79783217416902,0.998,0.992,2.56042118746019e-77,"RPS6","IP"
"TCF4",2.01091853458081e-80,1.59188846432399,0.909,0.628,3.97799904510775e-76,"TCF4","IP"
"MAPT",6.02992570392441e-80,-1.48066582912833,0.523,0.909,1.19283990275033e-75,"MAPT","Neuron"
"GRIA2",4.20472632547632e-78,-2.33714350429585,0.213,0.747,8.31778961705725e-74,"GRIA2","Neuron"
"CAMKV",4.38091584352062e-78,-2.13667606689663,0.241,0.745,8.66632772165249e-74,"CAMKV","Neuron"
"CSRP2",7.42901895540464e-78,-1.74026467388228,0.604,0.889,1.46960852975815e-73,"CSRP2","Neuron"
"PAX6",4.25264924684114e-76,3.63644904254906,0.473,0.077,8.41259074010114e-72,"PAX6","IP"
"RPS15A",9.44809549012724e-75,0.605822991995091,1,0.995,1.86902224985697e-70,"RPS15A","IP"
"NELL2",2.94685239429264e-74,-1.77199988407806,0.406,0.826,5.82946340638971e-70,"NELL2","Neuron"
"RUNX1T1",5.35368008348435e-74,-2.18351254496443,0.245,0.734,1.05906499411487e-69,"RUNX1T1","Neuron"
"C1orf61",3.97208737285977e-72,1.20672072834578,0.954,0.849,7.85758324099119e-68,"C1orf61","IP"
"FAM60A",8.2987699749011e-71,2.66427297134206,0.559,0.152,1.64166267643494e-66,"FAM60A","IP"
"RPS27",4.33423529383384e-70,0.571903872813813,1,0.997,8.5739842582621e-66,"RPS27","IP"
"HNRNPA1",5.72043659177115e-70,0.646231762253602,1,0.999,1.13161676658417e-65,"HNRNPA1","IP"
"YWHAH",2.74835804132873e-68,-1.15234566348087,0.755,0.937,5.4368018773565e-64,"YWHAH","Neuron"
"ACTB",2.94092721768233e-68,0.631752315906892,1,1,5.81774222201918e-64,"ACTB","IP"
"PDE1A",5.28363333527788e-68,-2.0664597170677,0.258,0.738,1.04520834638467e-63,"PDE1A","Neuron"
"EOMES",1.38327558925932e-67,5.25740908232066,0.314,0.012,2.73639577067278e-63,"EOMES","IP"
"FXYD6",1.48424971732178e-66,-1.18593843677932,0.811,0.95,2.93614279080595e-62,"FXYD6","Neuron"
"VSTM2L",2.28446780437929e-66,-4.56169693897097,0.03,0.479,4.51913421062311e-62,"VSTM2L","Neuron"
"ARPP21",4.00401365615217e-66,-3.3616496201693,0.07,0.537,7.92073981460022e-62,"ARPP21","Neuron"
"BEX2",4.04190634122428e-66,-1.35800978146731,0.555,0.872,7.99569912420987e-62,"BEX2","Neuron"
"PRDX1",4.89634510619839e-66,1.20047112520331,0.964,0.854,9.68594988908165e-62,"PRDX1","IP"
"SOX5",4.73875006805262e-65,-1.68944641765163,0.374,0.811,9.37419538462169e-61,"SOX5","Neuron"
"FAM49A",1.02958137128184e-64,-2.38816530003619,0.169,0.642,2.03671786866974e-60,"FAM49A","Neuron"
"NAP1L1",1.33393824889058e-64,1.03617284392863,0.968,0.915,2.63879664395534e-60,"NAP1L1","IP"
"SHTN1",7.32621103309814e-64,-2.32978203092987,0.149,0.629,1.44927106656747e-59,"SHTN1","Neuron"
"RPS19",1.09206650145788e-63,0.615805154720482,1,0.999,2.16032595318399e-59,"RPS19","IP"
