"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"NEUROD2",0,-6.61449629307772,0.077,0.992,0,"NEUROD2"
"SOX2",0,6.07122267339417,0.955,0.056,0,"SOX2"
"HMP19",0,-5.46010394533205,0.079,0.926,0,"HMP19"
"NEUROD6",0,-6.52094811844322,0.079,0.916,0,"NEUROD6"
"RTN1",0,-4.92845749398982,0.207,0.99,0,"RTN1"
"MAPT",0,-4.49869772303724,0.153,0.909,0,"MAPT"
"STMN2",0,-4.76392614854691,0.284,0.998,0,"STMN2"
"MAP1B",0,-1.81027330852985,0.98,1,0,"MAP1B"
"RAB3A",2.17388884170148e-322,-4.53147669371198,0.107,0.886,4.30038690665388e-318,"RAB3A"
"GPM6A",1.50046481715246e-316,-2.81301328910315,0.56,0.987,2.968219501291e-312,"GPM6A"
"VIM",2.29033149236811e-312,3.7307751040068,0.975,0.726,4.53073375820259e-308,"VIM"
"SYT1",1.13339747152821e-307,-2.97588024407352,0.507,0.979,2.24208687817711e-303,"SYT1"
"CNTNAP2",2.88090418117523e-306,-4.09394329994186,0.239,0.916,5.69900465120083e-302,"CNTNAP2"
"SOX4",5.97151284108454e-306,-2.14790005690389,0.967,1,1.18128467022334e-301,"SOX4"
"GAP43",1.0828233351337e-304,-2.7710538868117,0.542,0.987,2.14204112156149e-300,"GAP43"
"MLLT11",4.45973161277887e-296,-2.09976947843123,0.86,0.994,8.82224107639916e-292,"MLLT11"
"TMSB10",7.60347761890286e-293,-1.57311032386394,0.997,0.998,1.50411994257136e-288,"TMSB10"
"VAMP2",3.25991162436976e-280,-2.21314670431999,0.728,0.981,6.44875717532826e-276,"VAMP2"
"GNG5",8.86079942944041e-278,3.99715299894361,0.886,0.125,1.7528433431319e-273,"GNG5"
"CRMP1",6.39312726890548e-277,-2.4814655759906,0.589,0.959,1.26468843633488e-272,"CRMP1"
"GRIA2",1.35259850454808e-273,-5.85260989533915,0.03,0.747,2.67571036169701e-269,"GRIA2"
"TTYH1",1.3625574623272e-273,3.80267897659649,0.914,0.373,2.69541117197566e-269,"TTYH1"
"RCN1",1.59122046877885e-272,4.47415720439445,0.853,0.092,3.14775233133832e-268,"RCN1"
"TTC9B",1.90212525029423e-267,-5.54331551164538,0.034,0.739,3.76278417013205e-263,"TTC9B"
"TBR1",3.09684398126883e-267,-6.58429070082439,0.019,0.718,6.126176763746e-263,"TBR1"
"CAMKV",2.54979237756823e-264,-5.30791602344353,0.049,0.745,5.04399928130548e-260,"CAMKV"
"SNAP25",1.8596576334166e-263,-4.82448007052227,0.075,0.772,3.67877473042472e-259,"SNAP25"
"ZFP36L1",6.6763864131339e-261,5.86989649244626,0.793,0.035,1.32072276024615e-256,"ZFP36L1"
"NSG1",9.46327758955461e-261,-2.92712629303339,0.354,0.902,1.87202557276569e-256,"NSG1"
"GAPDH",1.07524091775834e-259,1.51282224734626,1,0.987,2.12704158350954e-255,"GAPDH"
"CXCR4",5.88695945188716e-252,5.38167802756373,0.795,0.052,1.16455831877232e-247,"CXCR4"
"SCG3",1.41927044747021e-251,-3.84074803867436,0.107,0.796,2.80760079918558e-247,"SCG3"
"STMN1",2.67653109723063e-245,-1.41250736125185,0.967,1,5.29471381654164e-241,"STMN1"
"SEZ6L2",3.25800781835739e-245,-4.254853394764,0.086,0.753,6.44499106627458e-241,"SEZ6L2"
"NFIB",6.92127565871071e-244,-2.57177921050155,0.734,0.96,1.36916675080615e-239,"NFIB"
"NES",1.9686424913385e-241,5.92195269372961,0.757,0.035,3.89436857636582e-237,"NES"
"RBFOX2",9.36458504620422e-239,-2.90071494547146,0.302,0.873,1.85250221384012e-234,"RBFOX2"
"DCX",7.17488746059131e-238,-2.70979482019384,0.439,0.919,1.41933623745417e-233,"DCX"
"LY6H",2.62453141394585e-233,-3.04811037843648,0.25,0.849,5.19184804306768e-229,"LY6H"
"BCL11A",6.24828079009378e-230,-3.42943118037637,0.253,0.826,1.23603490589635e-225,"BCL11A"
"SLA",4.1741372334519e-224,-7.00428325196893,0.013,0.625,8.25727827521456e-220,"SLA"
"HN1",8.86585489126969e-224,-1.38702795993934,0.925,0.993,1.75384341459097e-219,"HN1"
"SOX5",4.91613415452695e-223,-3.4374784083854,0.227,0.811,9.72509658448522e-219,"SOX5"
"RPL41",1.22372774237465e-222,1.05887849590519,1,0.996,2.42077821996553e-218,"RPL41"
"BASP1",1.93880404847916e-221,-1.34542194291694,0.967,0.997,3.83534216870147e-217,"BASP1"
"BEX1",9.26042996272668e-221,-2.18438192014946,0.519,0.933,1.83189825522659e-216,"BEX1"
"RPS6",2.23511618126153e-219,1.19988136676101,0.999,0.992,4.42150682977157e-215,"RPS6"
"CPE",3.71062393069672e-217,-1.87244375563426,0.688,0.97,7.34035625970425e-213,"CPE"
"ABRACL",7.58060205960633e-217,-2.98360668056663,0.299,0.833,1.49959469943132e-212,"ABRACL"
"ELAVL4",3.12608456391018e-215,-3.01521182808532,0.16,0.784,6.18402048432712e-211,"ELAVL4"
"THRA",3.44737236331511e-215,-2.95532105100823,0.279,0.822,6.81959200910995e-211,"THRA"
"BTG1",4.84327278223041e-215,2.22547470937097,0.974,0.638,9.5809622178082e-211,"BTG1"
"PCSK1N",1.29954853708532e-214,-2.43345141028396,0.448,0.892,2.57076691606218e-210,"PCSK1N"
"CNN3",8.9785940457522e-214,2.3363752319471,0.914,0.43,1.7761454741307e-209,"CNN3"
"RPLP1",1.04283015143042e-213,0.929297542302717,1,0.997,2.06292660555966e-209,"RPLP1"
"BEX2",1.11195588495403e-213,-2.51774719092254,0.377,0.872,2.19967113161605e-209,"BEX2"
"RPLP0",1.24310623707697e-213,1.0232070661521,1,0.996,2.45911275818567e-209,"RPLP0"
"CELF4",6.79154916967914e-213,-4.45860754076329,0.083,0.69,1.34350425674593e-208,"CELF4"
"RPS27L",1.01806083855327e-211,2.61086290332148,0.904,0.395,2.01392795082609e-207,"RPS27L"
"PPP2R2B",1.85170322502645e-210,-3.32122404126655,0.168,0.767,3.66303931974732e-206,"PPP2R2B"
"SPARC",5.21190401471122e-209,4.98537837967418,0.713,0.054,1.03101885219017e-204,"SPARC"
"KIF5C",8.32169812583291e-205,-2.12769799932218,0.535,0.909,1.64619832325227e-200,"KIF5C"
"KIDINS220",3.21943411693099e-204,-3.02262096041469,0.235,0.797,6.36868457011288e-200,"KIDINS220"
"SEZ6",5.2915044170578e-201,-4.52596769777395,0.052,0.639,1.04676540378237e-196,"SEZ6"
"NAP1L1",3.95643402493115e-200,1.55584045800204,0.996,0.915,7.8266177881188e-196,"NAP1L1"
"CDKN2D",6.66530849863474e-200,-3.40218501303574,0.152,0.73,1.31853132719992e-195,"CDKN2D"
"HES1",1.95473365635411e-199,4.78967823875204,0.711,0.071,3.86685411899971e-195,"HES1"
"SPINT2",9.48120528510618e-198,-3.41667965659068,0.128,0.715,1.8755720294997e-193,"SPINT2"
"ELAVL3",1.56310398472075e-194,-1.85030423772129,0.542,0.93,3.09213230257459e-190,"ELAVL3"
"INA",2.19768050013103e-194,-3.72785048458848,0.085,0.671,4.34745156535921e-190,"INA"
"GSTP1",2.90003953828752e-194,1.47064074421164,0.973,0.803,5.73685821464037e-190,"GSTP1"
"RPS20",5.0163954066475e-194,0.929941321718391,1,0.982,9.92343339343008e-190,"RPS20"
"SYP",4.40443066808961e-193,-4.18358995163761,0.066,0.642,8.71284474761487e-189,"SYP"
"MARCKSL1",8.01680184230572e-193,-0.978913868528955,0.994,1,1.58588374044492e-188,"MARCKSL1"
"CLU",1.89873253362967e-192,4.10844334837081,0.747,0.133,3.75607269802622e-188,"CLU"
"UCHL1",3.78475673211437e-192,-1.41639213006615,0.812,0.985,7.48700576746865e-188,"UCHL1"
"RPS3A",1.64364339556425e-191,0.859848700957897,1,0.998,3.2514553651052e-187,"RPS3A"
"HES4",1.8631814491235e-190,2.35340472660848,0.903,0.556,3.68574554265611e-186,"HES4"
"NREP",1.30022204836531e-188,-1.85421062979553,0.661,0.937,2.57209925607626e-184,"NREP"
"HMGB2",2.82251229191279e-188,4.12642758495099,0.753,0.163,5.58349381586187e-184,"HMGB2"
"OLFM1",7.96063252508255e-188,-3.25787382428418,0.178,0.725,1.57477232611183e-183,"OLFM1"
"HSPB1",2.73924599742975e-187,2.50464453379301,0.875,0.321,5.41877643211553e-183,"HSPB1"
"SH3BP5",3.53437298625231e-187,-4.1807393361708,0.074,0.633,6.99169664140433e-183,"SH3BP5"
"MEST",1.20486996478402e-186,4.01344535453251,0.71,0.102,2.38347376433575e-182,"MEST"
"TUBB2A",1.78866341416673e-186,-1.47052488796439,0.852,0.988,3.53833396590462e-182,"TUBB2A"
"FGFBP3",9.05667154982216e-186,3.58337976654682,0.819,0.332,1.79159076598582e-181,"FGFBP3"
"ID4",8.64100649561181e-185,3.49641035558556,0.761,0.187,1.70936390496193e-180,"ID4"
"RPS19",4.13218984817102e-183,0.88125075137626,1,0.999,8.17429795765191e-179,"RPS19"
