"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006260","DNA replication","65/1120","290/18860",0.224137931034483,3.77432266009852,11.9630398673687,4.98581387109496e-21,2.72773876887605e-17,2.19585739333277e-17,"NFIA/NFIB/NAP1L1/BAZ1A/GINS2/MCM3/MCM7/ORC6/CDT1/BARD1/CDK1/GMNN/RPA1/MCM5/CHAF1A/JADE1/PARP1/CHEK1/MCM2/PCNA/DBF4/NASP/RMI2/CDK2/MCM6/RPA3/TK1/NFIX/TP53/RRM1/RBBP7/POLD2/FGFR1/RFC1/DUT/RNASEH2A/MCM4/RBBP8/CCNA2/TIMELESS/FBXO5/FEN1/RFC5/WEE1/MMS22L/POLE4/MGME1/POLD3/NFIC/RPA2/RECQL/FAF1/RFC4/LIG1/NT5M/NOC3L/ATAD5/ASCC3/CHRAC1/TIPIN/RFC3/POLI/PRIM2/DONSON/WRN",65
"GO:0006261","DNA-templated DNA replication","42/1120","171/18860",0.245614035087719,4.1359649122807,10.3506530591654,1.57173650123952e-15,4.29948519914069e-12,3.46112922167691e-12,"BAZ1A/MCM3/MCM7/ORC6/CDT1/BARD1/CDK1/GMNN/RPA1/MCM5/PARP1/MCM2/PCNA/DBF4/CDK2/MCM6/TK1/RRM1/POLD2/FGFR1/RFC1/MCM4/RBBP8/TIMELESS/FBXO5/FEN1/RFC5/MMS22L/POLE4/MGME1/POLD3/RECQL/RFC4/LIG1/NOC3L/ATAD5/CHRAC1/TIPIN/RFC3/PRIM2/DONSON/WRN",42
"GO:0010001","glial cell differentiation","50/1120","263/18860",0.190114068441065,3.20138511678436,9.03324914255218,1.81369399559994e-13,3.30757328330909e-10,2.66263006231233e-10,"NFIA/NFIB/PTN/VIM/PTPRZ1/HES1/GSTP1/EMX1/PHGDH/MDK/ID2/HES5/GLI3/HMGA2/PLPP3/GPC1/CLU/METRN/SOX9/CDK1/ID4/RHOA/MAP2K2/COL6A1/HDAC1/TMEM98/NOTCH1/MYCN/LEF1/CXCR4/NR2E1/PRDM8/NAB1/DAB1/PLP1/LDLR/DLL1/SUZ12/DUSP10/CDK6/GPM6B/CTNNB1/ARHGEF10/MAP2K1/TENM4/SOX2/GRN/NCSTN/PARD3/BNIP3",50
"GO:0042063","gliogenesis","59/1120","357/18860",0.165266106442577,2.78296318527411,8.54568624050678,7.01407993810726e-13,9.59350783534621e-10,7.7228711739581e-10,"NFIA/NFIB/PTN/VIM/PTPRZ1/HES1/GSTP1/EMX1/TSPO/SYNE2/PHGDH/MDK/ID2/HES5/GLI3/HMGA2/PLPP3/GPC1/CLU/METRN/SOX9/CDK1/ID4/RHOA/MAP2K2/COL6A1/HDAC1/TMEM98/NOTCH1/MYCN/LEF1/CXCR4/NR2E1/PRDM8/E2F1/TP53/NAB1/DAB1/PLP1/LDLR/DLL1/PLAG1/UFL1/EZH2/SUZ12/DUSP10/CDK6/GPM6B/CTNNB1/ARHGEF10/HEXB/MAP2K1/TENM4/SOX2/GRN/NCSTN/PARD3/LRP8/BNIP3",59
"GO:0044772","mitotic cell cycle phase transition","69/1120","461/18860",0.149674620390456,2.52041369693214,8.30436941379847,1.03636529419128e-12,1.1339909049041e-09,9.12874187557116e-10,"NFIA/NFIB/ZFP36L1/CKS2/RPS27L/ID2/ZFP36L2/CCND2/EIF4EBP1/CCND1/NES/PSME1/CDK4/BARD1/CDK1/ID4/MAD2L1/UBE2C/CCNB2/JADE1/CLSPN/CHEK1/DBF4/ITGB1/BRD7/CENPF/ZWINT/CDK2/BIRC5/SPC25/RRM2/E2F1/TP53/RRM1/CCNG1/NUF2/CDKN3/RBBP8/PSMG2/NAE1/CCNA2/FBXO5/TCF3/EZH2/NEK6/EPS8/WEE1/CDK6/PLCB1/BUB3/CPSF3/MTA3/SKP2/RPA2/E2F3/CUL3/APPL2/RAD51C/CDC25B/DLG1/ATAD5/RCC1/RIOK2/CDC73/CCNY/RCC2/ADAM17/CDC23/DONSON",69
"GO:0045664","regulation of neuron differentiation","41/1120","199/18860",0.206030150753769,3.46940057430007,8.79917915931158,1.84076870300592e-12,1.67847426235757e-09,1.35118881638189e-09,"HES1/NEUROD2/SFRP1/FEZF2/HEY1/SOX3/ID2/HES5/GLI3/TCF4/REST/SOX9/PTBP1/TGIF1/B2M/ID4/RHOA/TGIF2/NLGN1/NEUROD1/ITGB1/NOTCH1/MYCN/HMG20B/EDNRB/SFRP2/NR2E1/CPNE1/DAB1/FGFR1/CALR/BMP7/DLL1/TCF3/TCF12/ZEB1/SOX2/MIB1/NRCAM/MYCL/DMD",41
"GO:0030900","forebrain development","64/1120","419/18860",0.152744630071599,2.57211046709853,8.1769128801867,2.81836798467961e-12,2.20275589202602e-09,1.7732408493082e-09,"NFIB/LHX2/HES1/EMX1/EMX2/FEZF2/NEUROD6/SYNE2/SOX3/NEUROG2/TBR1/MDK/ID2/HES5/GLI3/HMGA2/B2M/CHD7/ID4/RHOA/DMRTA2/RBPJ/HDAC1/FAT4/NEUROD1/NOTCH1/LEF1/NR2E1/PRDM8/E2F1/RRM1/ATIC/FOS/DAB1/FGFR1/BCAN/RTN4RL2/FGFR2/RFX4/EZH2/BTG2/CDK6/PLCB1/ARL13B/TMEM108/CTNNB1/FLNA/ATP2B4/SOX2/MFSD2A/DNAJB1/FILIP1/RYK/RTN4R/GRIA1/NIN/TWSG1/RAPGEF2/BBS2/LRP8/SLC2A1/SLIT1/CNTNAP2/BNIP3",64
"GO:0021537","telencephalon development","50/1120","291/18860",0.171821305841924,2.89334806087383,8.17851076048583,9.45495466723718e-12,6.46600712305683e-09,5.20520135891057e-09,"NFIB/LHX2/HES1/EMX1/EMX2/FEZF2/NEUROD6/SYNE2/TBR1/MDK/ID2/HES5/GLI3/CHD7/ID4/RHOA/DMRTA2/HDAC1/FAT4/NEUROD1/LEF1/NR2E1/PRDM8/ATIC/FOS/DAB1/BCAN/RTN4RL2/RFX4/EZH2/BTG2/CDK6/PLCB1/ARL13B/TMEM108/CTNNB1/FLNA/ATP2B4/MFSD2A/FILIP1/RYK/RTN4R/GRIA1/NIN/BBS2/LRP8/SLC2A1/SLIT1/CNTNAP2/BNIP3",50
"GO:0050767","regulation of neurogenesis","58/1120","378/18860",0.153439153439153,2.58380574452003,7.81564571774411,2.50956905661102e-11,1.52553914541321e-08,1.2280744950714e-08,"PTN/PTPRZ1/NAP1L1/LHX2/HES1/TSPO/FEZF2/HEY1/MDK/ID2/HES5/GLI3/HMGA2/HMGB2/HES6/REST/METRN/B2M/CHD7/ID4/DMRTA2/MAP2K2/HDAC1/TMEM98/RGMA/ITGB1/NOTCH1/MYCN/LEF1/CXCR4/NR2E1/E2F1/TP53/DAB1/LDLR/EPHA7/BMP7/OBSL1/DLL1/PLAG1/UFL1/EZH2/BTG2/DUSP10/APPL2/CTNNB1/MAP2K1/TENM4/RYK/RTN4R/VEGFA/NIN/CRABP2/RAPGEF2/DCC/MT3/LRP8/SLIT1",58
"GO:0044786","cell cycle DNA replication","18/1120","46/18860",0.391304347826087,6.58928571428571,9.53643801693985,4.24764595775414e-11,2.32388710348729e-08,1.87075270392035e-08,"MCM3/CDT1/CDK1/GMNN/MCM2/PCNA/DBF4/MCM6/TK1/FGFR1/MCM4/FBXO5/FEN1/LIG1/ATAD5/TIPIN/DONSON/WRN",18
