"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significant"
"DLX6-AS1",0,-6.08406397960734,0.021,0.705,0,"DLX6-AS1","Ventral"
"NFIA",0,4.01681068347361,0.753,0.078,0,"NFIA","Dorsal"
"NFIB",0,2.95021125687028,0.872,0.255,0,"NFIB","Dorsal"
"DLX5",0,-5.83124378144358,0.021,0.637,0,"DLX5","Ventral"
"GAD2",0,-4.37266578560655,0.025,0.479,0,"GAD2","Ventral"
"SLC32A1",0,-5.85637727317301,0.016,0.469,0,"SLC32A1","Ventral"
"PTN",2.4967893970662e-317,3.50909256298498,0.753,0.218,4.93914878527635e-313,"PTN","Dorsal"
"DCX",3.77600631525905e-308,-1.46983074412353,0.686,0.964,7.46969569284544e-304,"DCX","Ventral"
"STMN1",4.52936006657598e-305,-0.988587201382352,0.979,0.999,8.95998008370061e-301,"STMN1","Ventral"
"STMN2",1.29302377904377e-302,-1.43234103390909,0.58,0.991,2.55785963970439e-298,"STMN2","Ventral"
"DLX2",1.9589875438509e-298,-3.57864672279642,0.09,0.556,3.87526915924586e-294,"DLX2","Ventral"
"VIM",4.54090408273064e-277,3.41341338434754,0.83,0.441,8.98281645645776e-273,"VIM","Dorsal"
"CD24",1.64456612973335e-276,-1.17541462650974,0.854,0.988,3.25328071783851e-272,"CD24","Ventral"
"INA",1.52006412406174e-274,-2.00780076226213,0.332,0.767,3.00699085021893e-270,"INA","Ventral"
"TMSB10",8.15724646573328e-262,-0.915440039066712,0.995,1,1.61366649585136e-257,"TMSB10","Ventral"
"IGFBP2",1.85702504541002e-250,2.68279069697276,0.725,0.258,3.67356694483009e-246,"IGFBP2","Dorsal"
"DLX6",4.12398867664723e-246,-5.515872367736,0.012,0.354,8.15807440014355e-242,"DLX6","Ventral"
"PTPRZ1",8.08588213067337e-244,3.08245949407511,0.583,0.08,1.59954920308981e-239,"PTPRZ1","Dorsal"
"MLLT11",7.7866675998201e-237,-0.982866923043193,0.903,0.998,1.54035858459641e-232,"MLLT11","Ventral"
"NNAT",1.94403396575439e-231,-1.24767974633864,0.911,0.981,3.84568799105533e-227,"NNAT","Ventral"
"ZFHX3",1.93688937298896e-226,-3.37867079021175,0.111,0.496,3.83155455764677e-222,"ZFHX3","Ventral"
"FGFBP3",1.57075434668612e-224,3.5341244541211,0.591,0.136,3.10726624861448e-220,"FGFBP3","Dorsal"
"EZR",6.3855027808402e-216,2.96049724037238,0.548,0.078,1.26318016010581e-211,"EZR","Dorsal"
"LDHB",1.21410328788518e-212,0.817776960931946,0.989,0.911,2.40173912409447e-208,"LDHB","Dorsal"
"MARCKSL1",2.36183209272472e-209,-0.722763940750954,0.995,0.999,4.67217624582804e-205,"MARCKSL1","Ventral"
"GNG5",1.98352284393831e-206,2.8009208266089,0.548,0.096,3.92380488987877e-202,"GNG5","Dorsal"
