"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significant"
"NEUROD6",7.5571667313247e-258,-6.48461212858524,0.079,0.863,1.49495872279065e-253,"NEUROD6","IP"
"VIM",1.2264729698774e-211,4.54553798348633,0.975,0.557,2.42620882901147e-207,"VIM","Progenitor"
"NEUROD2",3.82352938054684e-209,-5.21675944172469,0.077,0.769,7.56370582059776e-205,"NEUROD2","IP"
"ELAVL4",3.2932807479603e-208,-3.56781514483954,0.16,0.869,6.51476797561506e-204,"ELAVL4","IP"
"MLLT11",5.84716081529747e-202,-2.4581421588599,0.86,0.992,1.15668535248215e-197,"MLLT11","IP"
"SOX4",5.94736150376815e-199,-2.23613709971647,0.967,1,1.17650705267541e-194,"SOX4","IP"
"SOX2",6.24656231643873e-193,3.74433897296326,0.955,0.187,1.23569495743791e-188,"SOX2","Progenitor"
"NHLH1",1.00527371673554e-192,-4.00787780464249,0.071,0.744,1.98863246644624e-188,"NHLH1","IP"
"TTYH1",6.31075063702496e-186,4.4721476544641,0.914,0.245,1.24839269101628e-181,"TTYH1","Progenitor"
"SSTR2",3.50540952435717e-185,-4.78825713622741,0.07,0.708,6.93440112108336e-181,"SSTR2","IP"
"MAP1B",5.3348983655932e-174,-1.40395164809013,0.98,1,1.05534959468165e-169,"MAP1B","IP"
"SOX11",2.69048752757885e-172,-2.44765297023978,0.842,0.992,5.32232242705649e-168,"SOX11","IP"
"STMN2",2.49257554005898e-165,-4.10639597584576,0.284,0.839,4.93081293334468e-161,"STMN2","IP"
"HMP19",5.12496823534259e-155,-4.54548428990384,0.079,0.644,1.01382121631547e-150,"HMP19","IP"
"ZFP36L1",3.80967044778964e-151,5.21609317217927,0.793,0.06,7.53629007981748e-147,"ZFP36L1","Progenitor"
"TMSB10",1.75593753413696e-148,-1.34556597309824,0.997,1,3.47359563002974e-144,"TMSB10","IP"
"HN1",2.1694551364443e-148,-1.44832868092042,0.925,0.994,4.2916161509141e-144,"HN1","IP"
"H3F3B",7.6809069763052e-148,-1.1049032265487,0.995,1,1.51943701805269e-143,"H3F3B","IP"
"DCX",1.03415760178522e-144,-2.36648760781013,0.439,0.911,2.04577056785153e-140,"DCX","IP"
"GPM6A",2.14848052823361e-140,-2.21555297338215,0.56,0.94,4.25012418095173e-136,"GPM6A","IP"
"RBFOX3",1.71936176767512e-139,-5.413103202774,0.029,0.511,3.40124144881491e-135,"RBFOX3","IP"
"CD24",1.16971281583207e-136,-1.71453681135198,0.761,0.978,2.313925892279e-132,"CD24","IP"
"HES4",4.63207575253537e-135,2.6270165087444,0.903,0.433,9.16317225366548e-131,"HES4","Progenitor"
"STMN1",9.88041928719594e-135,-1.31997074425776,0.967,0.998,1.9545445433931e-130,"STMN1","IP"
"BASP1",3.17492323175918e-133,-1.18882273154262,0.967,0.998,6.28063313706601e-129,"BASP1","IP"
"ELAVL3",1.92755811157145e-132,-2.04442665027186,0.542,0.918,3.81309545631064e-128,"ELAVL3","IP"
"NES",7.07960372434146e-126,4.0350557473738,0.757,0.093,1.40048720874923e-121,"NES","Progenitor"
"NEUROD1",9.69414195452655e-126,-4.57755992949765,0.022,0.465,1.91769516144444e-121,"NEUROD1","IP"
"NFIA",1.45292022938687e-122,-2.40156759717161,0.612,0.897,2.87416679777311e-118,"NFIA","IP"
"CXCR4",3.91051775896121e-122,3.49445389039258,0.795,0.145,7.73578623077706e-118,"CXCR4","Progenitor"
"SCG3",3.5813059991842e-120,-3.24675836635167,0.107,0.612,7.08453952758617e-116,"SCG3","IP"
"FGFBP3",3.73557225427514e-120,3.54832285019236,0.819,0.274,7.38970903340709e-116,"FGFBP3","Progenitor"
"SPARC",1.12945744664401e-119,4.55970698920697,0.713,0.068,2.23429272095118e-115,"SPARC","Progenitor"
"NFIB",6.54825376767625e-119,-2.1506838935686,0.734,0.926,1.29537556032172e-114,"NFIB","IP"
"ARL4D",1.79364301791834e-117,-3.42137718517221,0.19,0.678,3.54818461804606e-113,"ARL4D","IP"
"RAB3A",1.62001746474273e-116,-3.29809046182427,0.107,0.596,3.20471854875407e-112,"RAB3A","IP"
"GADD45G",3.183382027263e-116,-2.04787614018969,0.231,0.775,6.29736632633167e-112,"GADD45G","IP"
"TBR1",6.0932755165689e-114,-5.57930814152778,0.019,0.417,1.20537176268766e-109,"TBR1","IP"
"SYT1",3.15810117424505e-113,-2.11243951190503,0.507,0.891,6.24735574289156e-109,"SYT1","IP"
"RPL41",5.5026010900973e-113,0.884229084996789,1,1,1.08852454764305e-108,"RPL41","Progenitor"
"KIF5C",9.45848918232163e-113,-2.02068113386701,0.535,0.869,1.87107833004686e-108,"KIF5C","IP"
"NREP",1.1353885169915e-112,-1.82572929489298,0.661,0.922,2.24602556431259e-108,"NREP","IP"
"ABRACL",3.34649359950146e-109,-2.83172309012897,0.299,0.748,6.62003363853378e-105,"ABRACL","IP"
"BCL11B",3.48596845577129e-108,-3.87307401594685,0.072,0.513,6.89594279920676e-104,"BCL11B","IP"
"ENC1",3.7377929848339e-108,-2.38631100100096,0.44,0.821,7.39410208259841e-104,"ENC1","IP"
"KLHL35",6.96573043625996e-106,-3.33172010984549,0.044,0.465,1.37796079490095e-101,"KLHL35","IP"
"PTN",6.82207911500614e-105,3.62414954904564,0.862,0.547,1.34954369053051e-100,"PTN","Progenitor"
"RPLP1",7.46027613456373e-105,0.726983292197819,1,1,1.4757918249394e-100,"RPLP1","Progenitor"
"DDAH2",1.80839920798104e-104,-1.47541022851164,0.788,0.946,3.5773753132281e-100,"DDAH2","IP"
"RASL11B",6.86994414672879e-104,-4.24303281503564,0.071,0.497,1.35901235110589e-99,"RASL11B","IP"
"RBFOX2",8.04621495323505e-104,-2.4193290493597,0.302,0.751,1.59170224204896e-99,"RBFOX2","IP"
"TAGLN3",1.45658601883812e-103,-1.58733755854872,0.567,0.899,2.88141846246556e-99,"TAGLN3","IP"
"CLU",3.60257861726384e-102,3.3130889266489,0.747,0.173,7.12662102067132e-98,"CLU","Progenitor"
"NSG1",3.3266833567654e-100,-2.35118198960914,0.354,0.757,6.58084501635331e-96,"NSG1","IP"
"OCIAD2",7.42182668477763e-100,-2.94342214149709,0.214,0.66,1.46818575478271e-95,"OCIAD2","IP"
"GLRX",2.1084362023054e-99,-3.33806961620519,0.126,0.563,4.17090849540054e-95,"GLRX","IP"
"CRMP1",1.23043222903788e-98,-1.76348079704966,0.589,0.871,2.43404103548274e-94,"CRMP1","IP"
"ACTB",1.0211437586961e-96,-0.773103958205708,1,1,2.02002658345262e-92,"ACTB","IP"
"TMSB4X",3.23937589190553e-94,-1.01192099564211,0.999,1,6.40813338936753e-90,"TMSB4X","IP"
"EOMES",1.21349962917591e-90,-6.28827143937106,0.006,0.314,2.40054496643579e-86,"EOMES","IP"
"INA",1.29988896579864e-90,-3.22395752733401,0.085,0.495,2.57144035214286e-86,"INA","IP"
"RCN1",1.62856330263953e-90,1.84927929371641,0.853,0.362,3.22162392528152e-86,"RCN1","Progenitor"
"RTN1",3.71411180202489e-90,-3.0972305029808,0.207,0.626,7.34725596676564e-86,"RTN1","IP"
"NTRK2",1.13556535632818e-89,6.27973003677148,0.563,0.034,2.24637538788842e-85,"NTRK2","Progenitor"
"TTC3",1.28650386708509e-87,-1.04172444175922,0.932,0.99,2.54496194986773e-83,"TTC3","IP"
"CELF3",1.67530277180963e-87,-3.84086472009783,0.047,0.412,3.31408394319381e-83,"CELF3","IP"
"GPM6B",7.46276208419284e-87,1.98249358571622,0.903,0.579,1.47628359549503e-82,"GPM6B","Progenitor"
"GPC2",7.81627523109347e-87,-2.06528406511075,0.307,0.718,1.54621556621491e-82,"GPC2","IP"
"HES1",2.43198380486996e-86,2.65852735689199,0.711,0.169,4.81095036279375e-82,"HES1","Progenitor"
"SYP",1.47408046107616e-85,-3.48003512685395,0.066,0.443,2.91602596810086e-81,"SYP","IP"
"RPLP0",2.84874958899993e-85,0.706066738316305,1,0.998,5.63539643695967e-81,"RPLP0","Progenitor"
"SH3BP5",1.23316640959581e-84,-3.79830099545304,0.074,0.447,2.43944979146242e-80,"SH3BP5","IP"
"TUBA1A",1.31683980419307e-84,-0.857142955592614,1,1,2.60497250065473e-80,"TUBA1A","IP"
