"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significant"
"SOX2",1.56450355571932e-227,5.60829423191359,0.904,0.056,3.09490093392397e-223,"SOX2","Progenitor"
"NES",6.66283825290953e-208,6.32015222164252,0.82,0.035,1.31804266319056e-203,"NES","Progenitor"
"NEUROD2",6.16396485721065e-196,-5.9992139118445,0.1,0.992,1.21935552805341e-191,"NEUROD2","Neuron"
"GNG5",1.61575433127352e-194,4.39529830424041,0.893,0.125,3.19628521812528e-190,"GNG5","Progenitor"
"RTN1",3.87440651391141e-194,-5.56238581593592,0.138,0.99,7.66435096581956e-190,"RTN1","Neuron"
"STMN2",1.62116239956367e-184,-4.09672367856273,0.301,0.998,3.20698345881686e-180,"STMN2","Neuron"
"MAP1B",9.92669166035759e-179,-2.04649387376176,0.963,1,1.96369814425194e-174,"MAP1B","Neuron"
"GAP43",9.85314890457184e-176,-3.53767990830453,0.371,0.987,1.9491499163024e-171,"GAP43","Neuron"
"GPM6A",7.64860374823431e-173,-3.13521703990644,0.449,0.987,1.51304679347571e-168,"GPM6A","Neuron"
"CXCR4",1.05143886687543e-169,5.51274362494859,0.741,0.052,2.07995636645297e-165,"CXCR4","Progenitor"
"NEUROD6",1.14904170491631e-167,-6.82240382671211,0.065,0.916,2.27303430066545e-163,"NEUROD6","Neuron"
"CRNDE",8.60750377625169e-167,4.90155090378537,0.757,0.073,1.70273639701811e-162,"CRNDE","Progenitor"
"RCN1",1.1550611411789e-165,4.30813069413369,0.787,0.092,2.2849419494801e-161,"RCN1","Progenitor"
"HMP19",2.63128702842704e-165,-4.94195630894567,0.098,0.926,5.20521199963437e-161,"HMP19","Neuron"
"RPL6",3.70045261683755e-163,1.34337872997021,1,0.998,7.32023536662805e-159,"RPL6","Progenitor"
"MAPT",1.28415986388208e-161,-5.05088886084206,0.096,0.909,2.54032504273154e-157,"MAPT","Neuron"
"VAMP2",3.08328187396548e-161,-2.60545518576264,0.598,0.981,6.09934820307852e-157,"VAMP2","Neuron"
"CNTNAP2",6.46809853137988e-160,-4.8061859544071,0.164,0.916,1.27951925147757e-155,"CNTNAP2","Neuron"
"SYT1",1.22050043168766e-159,-2.90762299337446,0.509,0.979,2.41439395396453e-155,"SYT1","Neuron"
"RPL41",2.55912195080187e-159,1.37841333809427,1,0.996,5.06245504307626e-155,"RPL41","Progenitor"
"HES5",3.79191401827654e-159,6.93327541544227,0.645,0.016,7.50116431095465e-155,"HES5","Progenitor"
"ZFP36L1",4.98517066387051e-156,5.49969803509591,0.675,0.035,9.86166460726864e-152,"ZFP36L1","Progenitor"
"RPLP0",7.18702785923963e-155,1.30108279387084,1,0.996,1.42173785111478e-150,"RPLP0","Progenitor"
"RPS6",4.18946438799299e-153,1.39811600258666,1,0.992,8.28759845232773e-149,"RPS6","Progenitor"
"RPS3",1.00849838952166e-152,1.2006129317375,1,0.997,1.99501151415174e-148,"RPS3","Progenitor"
