"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050803","regulation of synapse structure or activity","105/1506","329/18860",0.319148936170213,3.9967788420785,16.1538198185034,7.69450208752252e-37,4.12425311891207e-33,3.45847620144433e-33,"NEUROD2/MAP1B/GPM6A/CRMP1/CAMKV/NRXN1/CDC42/SNCA/SLC17A7/CDK5R1/RTN4/CAMK2B/NRN1/CTTNBP2/YWHAZ/DAB1/GRIN2B/NRXN2/TUBB/TUBA1A/MAPRE3/MEF2C/APP/RHOB/PPFIA2/TANC2/KIF1A/NEGR1/NTRK3/SRGAP1/FLRT2/CYFIP2/PAK3/MYCBP2/CTNNA2/NRCAM/DBN1/ITSN1/CDK5/PTPRO/LRRTM4/SYNDIG1/ARC/SLIT1/HOMER1/LIN7B/LRRC24/PAFAH1B1/RTN4RL2/DCTN1/EPHA7/NEDD8/PTPRD/LRRTM2/SLITRK4/DHX36/LIN7A/DLGAP4/ROBO2/SRGAP2C/DTNBP1/PRNP/RAC3/ABI2/SRGAP2/NRP2/ADGRB3/SRCIN1/PRKCA/NGEF/NLGN1/CAMK1/FARP1/SYNGAP1/EFNA1/SEMA4D/FYN/CC2D1A/NEDD4L/ADGRB2/SYBU/CLSTN1/LZTS1/CDKL5/LRRC4B/LHFPL4/SLC12A5/ARHGAP33/STAU2/PTPN1/LRFN1/AGAP1/PDZD11/RAP2A/SEMA4C/STRN4/NEFL/MARK1/SRGAP2B/RPS6KA5/LRFN4/NUMBL/NLGN2/ZMYND8/CAPRIN1",105
"GO:0050807","regulation of synapse organization","102/1506","322/18860",0.316770186335404,3.96698918611269,15.8191986590694,1.71672871389439e-35,4.60083295323697e-32,3.85812189912055e-32,"NEUROD2/MAP1B/GPM6A/CRMP1/CAMKV/NRXN1/CDC42/SNCA/CDK5R1/RTN4/CAMK2B/NRN1/CTTNBP2/YWHAZ/DAB1/GRIN2B/NRXN2/TUBB/TUBA1A/MAPRE3/MEF2C/APP/RHOB/PPFIA2/TANC2/KIF1A/NEGR1/NTRK3/SRGAP1/FLRT2/CYFIP2/PAK3/MYCBP2/CTNNA2/NRCAM/DBN1/ITSN1/CDK5/PTPRO/LRRTM4/SYNDIG1/ARC/SLIT1/HOMER1/LIN7B/LRRC24/PAFAH1B1/RTN4RL2/DCTN1/EPHA7/NEDD8/PTPRD/LRRTM2/SLITRK4/DHX36/LIN7A/DLGAP4/ROBO2/SRGAP2C/DTNBP1/PRNP/RAC3/ABI2/SRGAP2/NRP2/ADGRB3/SRCIN1/PRKCA/NGEF/NLGN1/CAMK1/FARP1/EFNA1/SEMA4D/FYN/CC2D1A/NEDD4L/ADGRB2/CLSTN1/LZTS1/CDKL5/LRRC4B/LHFPL4/SLC12A5/ARHGAP33/STAU2/PTPN1/LRFN1/AGAP1/PDZD11/RAP2A/SEMA4C/STRN4/NEFL/MARK1/SRGAP2B/RPS6KA5/LRFN4/NUMBL/NLGN2/ZMYND8/CAPRIN1",102
"GO:0007409","axonogenesis","125/1506","472/18860",0.264830508474576,3.3165361154253,15.0146373383863,1.71685224087066e-34,3.06744267035558e-31,2.57226633983078e-31,"MAP1B/GAP43/MAPT/RAB3A/NFIB/UCHL1/KIF5C/NRXN1/STMN1/TBR1/BCL11A/FOXG1/FEZF2/OLFM1/APLP1/NCAM1/BCL11B/MAP2/STXBP1/CDK5R1/NELL2/RTN4/SHTN1/THY1/RUFY3/FEZ1/ANK3/TUBB2B/AUTS2/DAB1/GDI1/APP/DRAXIN/ATP8A2/NEO1/NTRK3/APBB1/DCLK1/NFASC/PPP3CB/KIF5A/FLRT2/CYFIP2/CLASP2/PAK3/EFNA3/CNTN1/L1CAM/MYCBP2/EPHA5/ATL1/CTNNA2/SEMA3A/NRCAM/CDK5/PTPRO/KLF7/MAP1A/EFNB2/NPTX1/FGF13/SLIT1/SPAST/PAFAH1B1/EPHA7/ISLR2/LHX2/B4GAT1/SLITRK4/UNC5A/FAT4/PLXND1/PTPRZ1/PLXNA4/ROBO2/DPYSL5/RAC3/CHL1/MACF1/KIFC2/CXCL12/NRP2/WDR47/NDP/TNR/PRKCA/TOP2B/NR4A2/ARHGAP35/ADCY1/SPTBN4/RAB10/SYNGAP1/GSK3B/EFNA1/EFNB3/BMPR2/SEMA4D/FYN/NOVA2/BRSK1/CDKL5/ADARB1/TTL/PRDM8/B4GALT5/TRIM46/PAK1/ARHGEF25/EVL/NUMB/CELSR3/KALRN/FBXO45/SEMA4C/FLOT1/B3GNT2/NEFL/ZEB2/USP33/RPS6KA5/WNT7B/NRDC/NUMBL/SEMA6B",125
"GO:0010975","regulation of neuron projection development","120/1506","448/18860",0.267857142857143,3.35443938531588,14.8575793232823,1.19650512718384e-33,1.60331687042635e-30,1.34449391923026e-30,"STMN2/MAP1B/MAPT/CRMP1/YWHAH/SNAP25/TBR1/BCL11A/FEZF2/KIDINS220/SEZ6/MAP2/CDK5R1/RTN4/SHTN1/CAMK2B/THY1/PPP3CA/SERPINI1/RUFY3/FEZ1/TUBB2B/DAB1/MAPRE3/GDI1/NSMF/SPOCK1/DRAXIN/ATP8A2/PPFIA2/TANC2/LRRC7/KIF1A/NEO1/NEGR1/NTRK3/APBB1/PARP6/DPYSL3/PAK3/CNTN1/L1CAM/MYCBP2/CTNNA2/SEMA3A/NRCAM/PPP2R5B/DBN1/TNIK/CDK5/PTPRO/EFNB2/HECW1/FGF13/ARC/SLIT1/PAFAH1B1/RTN4RL2/EPHA7/ISLR2/FAT3/PTPRD/DHX36/PLXND1/CCDC88A/ROBO2/DPYSL5/DTNBP1/INPP5F/ABI2/NDRG4/MACF1/TMEM106B/CXCL12/ADGRB3/SRCIN1/PLPPR5/TNR/CAMK2G/NGEF/NLGN1/CAMK1/ARHGAP35/PRKCI/ACAP3/SYNGAP1/GSK3B/EFNA1/EFNB3/BMPR2/SEMA4D/FYN/DGUOK/SHOC2/PTPRG/CAMK1D/NEDD4L/NOVA2/BRSK1/LZTS1/CDKL5/GSK3A/ARHGAP33/DMD/TRIM46/PAK1/STAU2/PTPN1/AP2A1/RAP2A/NEFL/ZEB2/MARK1/TMEM30A/CAMSAP2/RAPGEF1/NRDC/NUMBL/SCARB2/CAPRIN1",120
"GO:0099003","vesicle-mediated transport in synapse","85/1506","259/18860",0.328185328185328,4.10994375137801,14.8458917466181,5.50533527489582e-31,5.90171941468832e-28,4.94900665764319e-28,"VAMP2/SYT1/RAB3A/NSG1/CALM1/SNAP25/NRXN1/SNCA/SYP/SH3GL2/STXBP1/SLC17A7/CALM2/CALM3/PPP3CA/CLTB/ATP6V1G2/SV2A/ATP6V1F/PCLO/SNCB/HPCA/CALY/PPFIA2/SYT5/NECAP1/SYT4/CPLX2/PPP3CB/SYNGR3/ATP6V1A/AAK1/ITSN1/CDK5/EFNB2/SYT13/SYN1/PRKCB/ATP6AP1/SYNDIG1/AP2S1/ATP6AP2/AP2M1/ARC/STX1A/ATP6V1B2/ATP6V0D1/DNM1/DNM3/RAB11A/ATP6V0A1/RAB7A/PRKAR1B/DOC2A/ATP6V1E1/DTNBP1/NCDN/PRRT2/GRIPAP1/SYT11/CADPS/RABEP1/AP2B1/AP2A2/ATP6V1D/SUSD4/CACNA1B/CPLX1/NLGN1/NAPB/ATAD1/NAPA/CLSTN1/BRSK1/AP3B2/ERC2/PPFIA3/NUMB/AP2A1/FBXO45/SNAP47/CACNB4/NLGN2/RAB3B/GRIK5",85
"GO:0016358","dendrite development","78/1506","241/18860",0.323651452282158,4.05316493362649,14.0524688318304,4.56795914198009e-28,4.08071016683555e-25,3.42196237478158e-25,"MAP1B/YWHAH/BCL11A/CDC42/FEZF2/KIDINS220/SEZ6/ELAVL4/MAP2/CDK5R1/CAMK2B/SULT4A1/PPP3CA/ACTL6B/DAB1/MAPRE3/MEF2C/NSMF/APP/PPFIA2/TANC2/KIF1A/PHACTR1/CTNND2/PARP6/TRAPPC4/PAK3/CTNNA2/SEMA3A/DBN1/TNIK/ITSN1/CDK5/KLF7/MAP1A/HECW1/MAPK8IP2/ARC/PAFAH1B1/DLG4/FAT3/PTPRD/DHX36/SRGAP2C/DPYSL5/DTNBP1/ABI2/TMEM106B/SRGAP2/ADGRB3/GPR37/NDP/SRCIN1/NGEF/NLGN1/CAMK1/FARP1/SYNGAP1/GSK3B/EFNA1/SEMA4D/FYN/CC2D1A/CAMK1D/NEDD4L/LZTS1/CDKL5/SLC12A5/ARHGAP33/STAU2/RAP2A/MARK1/CAMSAP2/NUMBL/NLGN2/MAPK6/ZMYND8/CAPRIN1",78
"GO:0099173","postsynapse organization","75/1506","245/18860",0.306122448979592,3.83364501178958,13.1513090647262,2.59999415252253e-25,1.99085266536011e-22,1.66946992951447e-22,"MAP1B/GAP43/CRMP1/NRXN1/CDC42/SH3GL2/INA/CDK5R1/RTN4/CAMK2B/GRIN2B/NRXN2/MAPRE3/TMEM108/APP/PPFIA2/TANC2/KIF1A/NTRK3/CTNND2/CYFIP2/PAK3/NRCAM/DBN1/ITSN1/CDK5/SYNDIG1/NPTX1/ARC/HOMER1/PAFAH1B1/DLG4/GLRB/EPHA7/NEDD8/PTPRD/HIP1R/FRRS1L/LRRTM2/DHX36/DTNBP1/PRNP/ARHGEF9/RAC3/ABI2/NRP2/SRCIN1/INSR/NGEF/NLGN1/FARP1/SYNGAP1/EFNA1/FYN/CC2D1A/LZTS1/CDKL5/LRRC4B/LHFPL4/CHRNB1/SLC12A5/PICK1/ARHGAP33/STAU2/PTPN1/LRFN1/SEMA4C/NEFL/MARK1/RPS6KA5/LRFN4/NUMBL/NLGN2/ZMYND8/CAPRIN1",75
"GO:0099504","synaptic vesicle cycle","69/1506","220/18860",0.313636363636364,3.92774357116987,12.8674782266966,4.58194651227789e-24,3.06990416322619e-21,2.5743304746614e-21,"VAMP2/SYT1/RAB3A/SNAP25/NRXN1/SNCA/SYP/SH3GL2/STXBP1/SLC17A7/CALM3/PPP3CA/CLTB/ATP6V1G2/SV2A/ATP6V1F/PCLO/SNCB/PPFIA2/SYT5/SYT4/CPLX2/PPP3CB/SYNGR3/ATP6V1A/ITSN1/CDK5/SYT13/SYN1/PRKCB/ATP6AP1/SYNDIG1/AP2S1/ATP6AP2/AP2M1/STX1A/ATP6V1B2/ATP6V0D1/DNM1/DNM3/ATP6V0A1/RAB7A/PRKAR1B/DOC2A/ATP6V1E1/DTNBP1/PRRT2/GRIPAP1/SYT11/CADPS/AP2B1/AP2A2/ATP6V1D/CACNA1B/CPLX1/NLGN1/NAPB/NAPA/BRSK1/AP3B2/ERC2/PPFIA3/AP2A1/FBXO45/SNAP47/CACNB4/NLGN2/RAB3B/GRIK5",69
"GO:0007416","synapse assembly","78/1506","284/18860",0.274647887323944,3.43948151057741,12.2026068535102,6.07147272512523e-23,3.36240439883994e-20,2.81961248685124e-20,"MAP1B/GAP43/GPM6A/MAPT/CRMP1/NRXN1/SNCA/GRIA1/RTN4/NRXN2/PCLO/MEF2C/APP/NEGR1/NTRK3/GABRA2/GABRB3/GABRB2/SRGAP1/FLRT2/CYFIP2/MYCBP2/NRCAM/CDK5/EFNB2/GABRG2/LRRTM4/SYNDIG1/NPTX1/FGF13/SLIT1/LIN7B/ADD2/LRRC24/RTN4RL2/EPHA7/DNM3/SHANK2/NEDD8/PLXNA2/PTPRD/LRRTM2/SLITRK4/LIN7A/PLXND1/PLXNA4/ROBO2/SRGAP2C/ARHGEF9/RAC3/SRGAP2/ADGRB3/PRKCA/NLGN1/FARP1/SEMA4D/CC2D1A/ADGRB2/CLSTN1/LZTS1/LRRC4B/GABRG3/LHFPL4/SLC12A5/ARHGAP33/STAU2/PTPN1/LRFN1/PDZD11/RAP2A/FBXO45/SEMA4C/MARK1/SRGAP2B/LRFN4/NUMBL/NLGN2/CAPRIN1",78
"GO:0099175","regulation of postsynapse organization","54/1506","146/18860",0.36986301369863,4.6318834252033,12.9776792220091,6.27314253514913e-23,3.36240439883994e-20,2.81961248685124e-20,"MAP1B/CRMP1/CDC42/CDK5R1/RTN4/CAMK2B/GRIN2B/NRXN2/MAPRE3/APP/PPFIA2/TANC2/KIF1A/CYFIP2/PAK3/NRCAM/DBN1/ITSN1/CDK5/SYNDIG1/ARC/HOMER1/PAFAH1B1/EPHA7/NEDD8/PTPRD/LRRTM2/DHX36/DTNBP1/PRNP/RAC3/ABI2/NRP2/SRCIN1/NGEF/NLGN1/EFNA1/FYN/CC2D1A/LZTS1/CDKL5/LRRC4B/SLC12A5/ARHGAP33/STAU2/PTPN1/LRFN1/SEMA4C/MARK1/RPS6KA5/LRFN4/NUMBL/ZMYND8/CAPRIN1",54
