"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","80/1026","208/18860",0.384615384615385,7.07002549107812,21.1138828952061,4.40681507659745e-47,2.29110315832301e-43,1.83277119659332e-43,"RPL6/RPL41/RPLP0/RPS6/RPS3/RPS3A/RPS20/RPS19/RPLP1/RPS16/RPL21/RPS15A/RPS7/RPS27/RPS11/RPLP2/RPL27A/RPS15/RPS9/RPL13A/RPL8/RPS23/RPS27A/RPL35/RPS26/RPL3/RPS25/YBX3/RPL5/RPL18A/RPL7A/RPL39/RPS24/RPL12/RPSA/RPL35A/RPS17/RPS14/RPL22/RPL23/RPL30/RPS12/EEF1D/RPL29/RPL13/RPS21/RPL7/RPL19/RPL18/RPS10/RPL11/RPL37/RPL27/RPL23A/RPL24/RPL9/RPL10/RPS29/RPS2/RPL14/RPL10A/RPS8/RPL17/UBA52/RPL36/RPS28/RPL28/EIF3F/RPL36A/RPL22L1/PABPC1/EIF3E/SH3BGRL/EIF5/EIF3M/EIF2D/EIF3G/UNK/IGF2BP1/FXR1",80
"GO:0006260","DNA replication","60/1026","290/18860",0.206896551724138,3.80318612623513,11.5386131080446,1.51776010717748e-19,3.94541739860786e-16,3.15614220182012e-16,"NAP1L1/ID3/DACH1/FGFR1/CDT1/BARD1/MCM3/CDK2/TIMELESS/ACTL6A/NASP/MCM7/TP53/BAZ1A/GINS2/MCM5/GMNN/RBBP7/BRCA1/MCM10/RMI2/DUT/DBF4/CDK1/MCM2/GINS4/PCNA/TK1/CDC6/SMARCA5/WEE1/FBXO5/PRIM1/CDKN1A/CHEK1/CCNA2/FEN1/GINS3/RPA3/NOC3L/RFC5/ORC6/GLI2/MMS22L/MGME1/ATF1/MCM6/CHAF1A/RRM1/RPA1/DSCC1/RBBP8/POLD1/RFC4/DDX11/RNASEH2A/TIPIN/ATAD5/PTMS/CHRAC1",60
"GO:0042274","ribosomal small subunit biogenesis","32/1026","107/18860",0.299065420560748,5.49744038184766,11.1900121108688,7.96209350481982e-16,1.37983080438527e-12,1.10379759429976e-12,"RPS6/RPS3A/RPS19/RPS16/RPS15A/RPS7/RPS27/RPS11/RPS15/RPS9/RPS23/RPS27A/RPS25/RPS24/RPSA/RPS17/RPS14/RPS12/RPS21/RPS27L/NPM1/RPS8/RPS28/FBL/TRMT112/LSM6/KRR1/ABT1/NOB1/NOL10/RRS1/EMG1",32
"GO:0044772","mitotic cell cycle phase transition","70/1026","461/18860",0.151843817787419,2.79120312229115,9.33913858643576,4.73581847311015e-15,6.15538006042492e-12,4.92400494401532e-12,"NES/ZFP36L1/CCND1/RPS27L/ID4/ZFP36L2/RPL24/CCNB2/CCNG1/CKS2/CDK4/BIRC5/RDX/CDK6/BARD1/ITGB1/CDK2/ACTL6A/CENPF/TP53/UBE2C/MAD2L1/CLSPN/ZWINT/E2F1/CDC20/EZH2/RRM2/NUF2/BRCA1/DBF4/CDK1/MTA3/CDC25B/CDC6/WEE1/MELK/FOXM1/AURKB/CTDSP1/FBXO5/CDKN1A/CHEK1/CCNA2/BTN2A2/CDCA8/APPL2/CCNB1/CTDSP2/BCAT1/TRIAP1/RCC2/TCF3/DDX3X/CDKN1C/RRM1/CDC73/RBBP8/SPC25/CCND2/PSME1/RCC1/SKP2/CPSF3/BRD7/MDM2/ATAD5/NABP2/PPM1D/PSME2",70
"GO:0007059","chromosome segregation","67/1026","434/18860",0.154377880184332,2.83778442522076,9.29035966491018,8.1838775232739e-15,8.5095958487002e-12,6.80726317778004e-12,"RPS3/RAN/PTTG1/CCNB2/CDT1/BIRC5/PPP1CC/NUSAP1/CENPU/MKI67/ACTL6A/CENPF/CENPN/CENPK/UBE2C/CCNB1IP1/RHOA/TOP2A/MAD2L1/ITGB3BP/SMC4/ZWINT/CENPM/NUP37/CDC20/MND1/UHRF1/NUF2/BRCA1/MYBL2/RMI2/CDK1/CENPQ/CENPH/HJURP/CDC6/SMARCA5/ASPM/KIFC1/AURKB/FBXO5/TPX2/CDCA8/FANCD2/CCNB1/AAAS/NCAPD2/MIS18A/DSN1/RCC2/SMC2/BCCIP/P3H4/BOD1/DDX3X/CENPW/FLNA/SPC25/RCC1/PSRC1/BRD7/GPSM2/SKA2/PRC1/HAUS6/RRS1/RACGAP1",67
"GO:0022613","ribonucleoprotein complex biogenesis","72/1026","496/18860",0.145161290322581,2.66836445953594,9.03143489080632,2.01615943165834e-14,1.74700214753195e-11,1.39751682710213e-11,"RPLP0/RPS6/RPS3A/RPS19/RPS16/RPS15A/RPS7/RPS27/RPS11/RPS15/RPS9/RPL13A/RPS23/RPS27A/RPL35/RPS25/RPL5/RPL7A/RPS24/RPSA/RPL35A/RPS17/RPS14/RPS12/RPS21/RPL7/RPS27L/CHD7/RPL11/SNRPF/NPM1/RAN/RPL27/SCAF11/RPL24/SNRPE/RPL14/RPS8/RPS28/SRSF9/EIF3F/CLNS1A/SNRPD2/SNRPB/GLUL/TMA16/FBL/SNRPG/TRMT112/EIF3E/SNRPD1/PTGES3/LSM6/EIF5/SNRPD3/EXOSC3/RPF1/EIF3M/SRSF10/KRR1/DDX3X/EIF2D/EIF3G/LYAR/DKC1/USP16/ABT1/NOB1/NOL10/RRS1/EMG1/SART3",72
"GO:0006261","DNA-templated DNA replication","38/1026","171/18860",0.222222222222222,4.08490361706736,9.71975353061171,6.8548534643316e-14,5.09119759443714e-11,4.07271068234198e-11,"DACH1/FGFR1/CDT1/BARD1/MCM3/CDK2/TIMELESS/MCM7/BAZ1A/MCM5/GMNN/BRCA1/MCM10/DBF4/CDK1/MCM2/GINS4/PCNA/TK1/CDC6/FBXO5/PRIM1/FEN1/NOC3L/RFC5/ORC6/MMS22L/MGME1/MCM6/RRM1/RPA1/RBBP8/POLD1/RFC4/DDX11/TIPIN/ATAD5/CHRAC1",38
"GO:0045665","negative regulation of neuron differentiation","25/1026","76/18860",0.328947368421053,6.04673232789576,10.5738137602793,1.0055467661205e-13,6.5347970463256e-11,5.22752009597644e-11,"SOX2/HES5/SOX3/IRX3/ID4/ASCL1/HES1/SOX9/DLL1/B2M/ITGB1/GLI3/JAG1/PTBP1/NOTCH1/MEIS1/PAX6/ASPM/NOTCH3/REST/BMP7/CTDSP1/DLX2/ZNF536/SPAG9",25
"GO:0042254","ribosome biogenesis","53/1026","318/18860",0.166666666666667,3.06367771280052,8.90196279875537,2.54800344877649e-13,1.47189665890989e-10,1.17744580422408e-10,"RPLP0/RPS6/RPS3A/RPS19/RPS16/RPS15A/RPS7/RPS27/RPS11/RPS15/RPS9/RPS23/RPS27A/RPL35/RPS25/RPL5/RPL7A/RPS24/RPSA/RPL35A/RPS17/RPS14/RPS12/RPS21/RPL7/RPS27L/CHD7/RPL11/NPM1/RAN/RPL27/RPL24/RPL14/RPS8/RPS28/GLUL/TMA16/FBL/TRMT112/LSM6/EIF5/EXOSC3/RPF1/KRR1/DDX3X/LYAR/DKC1/USP16/ABT1/NOB1/NOL10/RRS1/EMG1",53
"GO:1901987","regulation of cell cycle phase transition","66/1026","468/18860",0.141025641025641,2.59234268006198,8.36668874294884,9.95963477738507e-13,5.1780141207625e-10,4.14215968478404e-10,"SOX2/ZFP36L1/CCND1/RPS27L/NPM1/ZFP36L2/CDT1/CDK4/BIRC5/RDX/CDK6/BARD1/CDK2/TIMELESS/STK33/ACTL6A/CENPF/TP53/UBE2C/MAD2L1/CLSPN/ZWINT/E2F1/CDC20/EZH2/RRM2/NUF2/BRCA1/DBF4/CDK1/PROX1/MTA3/CDC25B/CDC6/WEE1/AURKB/CTDSP1/FBXO5/CDKN1A/CHEK1/BTN2A2/CDCA8/FANCD2/APPL2/CCNB1/CTDSP2/TRIAP1/RCC2/TCF3/DDX3X/CDKN1C/RRM1/CDC73/WDR76/RBBP8/SPC25/CCND2/PSME1/CPSF3/UFL1/BRD7/MDM2/TIPIN/ATAD5/NABP2/PSME2",66
